"Name_std" "mass"
"Hypena rostralis" 0.0166761595313272
"Hypenodes humidalis" 0.00418903879704375
"Hyphantria cunea" 0.0269081756125336
"Hypomecis punctinalis" 0.0212863056153334
"Hypomecis roboraria" 0.0355523030443115
"Hyppa rectilinea" 0.0549988349245568
"Idaea aureolaria" 0.00299228571690412
"Idaea aversata" 0.00931662747599378
"Idaea biselata" 0.00418072945559607
"Idaea calunetaria" 0.00375759016085512
"Idaea contiguaria" 0.00375759016085512
"Idaea degeneraria" 0.00463172595359071
"Idaea deversaria" 0.00643866070670749
"Idaea dilutaria" 0.00336166172754934
"Idaea dimidiata" 0.00264879081358732
"Idaea emarginata" 0.00511121460243484
"Idaea flaveolaria" 0.00176666744940413
"Idaea fuscovenosa" 0.00336166172754934
"Idaea humiliata" 0.00264879081358732
"Idaea inquinata" 0.00203668936701392
"Idaea laevigata" 0.00233049195681478
"Idaea macilentaria" 0.00375759016085512
"Idaea moniliata" 0.00336166172754934
"Idaea muricata" 0.00299228571690412
"Idaea nitidata" 0.00418072945559607
"Idaea obsoletaria" 0.00281734561011463
"Idaea ochrata" 0.00463172595359071
"Idaea politaria" 0.00248653525843811
"Idaea rubraria" 0.0053618389467158
"Idaea rufaria" 0.00486786950220859
"Idaea rusticata" 0.00375759016085512
"Idaea seriata" 0.00273227540620998
"Idaea sericeata" 0.00355626544669099
"Idaea serpentata" 0.00375759016085512
"Idaea straminata" 0.00862075199684945
"Idaea subsericeata" 0.00418072945559607
"Idaea sylvestraria" 0.00355626544669099
"Idaea trigeminata" 0.00440270561066726
"Idaea typicata" 0.00336166172754934
"Idia calvaria" 0.0166761595313272
"Ipimorpha retusa" 0.031658598722312
"Ipimorpha subtusa" 0.0351616720634722
"Isturgia arenacearia" 0.00561981959164652
"Jodia croceago" 0.0436161681283483
"Jodis lactearia" 0.00463172595359071
"Jodis putata" 0.00299228571690412
"Korscheltellus fusconebulosa" 0.0477717578411856
"Korscheltellus lupulina" 0.0290211082277506
"Lacanobia aliena" 0.046607444027201
"Lacanobia contigua" 0.0456008448405359
"Lacanobia oleracea" 0.0507282559225989
"Lacanobia splendens" 0.0436161681283483
"Lacanobia suasa" 0.0446037432697434
"Lacanobia thalassina" 0.0461029590152717
"Lacanobia w-latinum" 0.052844929875311
"Lampropteryx suffumata" 0.010045730250849
"Lamprotes c-aureum" 0.046607444027201
"Laothoe populi" 0.482766517889088
"Larentia clavaria" 0.0142088520123803
"Lasiocampa quercus" 0.309330216130951
"Lasiocampa trifolii" 0.139907077301981
"Lasionhada proxima" 0.036972401678864
"Laspeyria flexula" 0.0120840420541157
"Lateroligia ophiogramma" 0.0397617243640738
"Lemonia taraxaci" 0.132789631159019
"Lenisa geminipuncta" 0.0325194809627761
"Leucania comma" 0.0486490221979701
"Leucania loreyi" 0.0507282559225989
"Leucania obsoleta" 0.0407108963337271
"Leucodonta bicoloria" 0.0402947321642218
"Leucoma salicis" 0.0462302810615643
"Ligdia adustata" 0.00763800719467768
"Lithophane consocia" 0.0651468207406651
"Lithophane furcifera" 0.0622537346335992
"Lithophane leautieri" 0.0560896853726304
"Lithophane ornitopus" 0.0426381486857565
"Lithophane semibrunnea" 0.053917241350387
"Lithophane socia" 0.0594175308930541
"Lithosia quadra" 0.0406836343097836
"Litoligia literosa" 0.0275047138806665
