"Name_std" "overwintering_stage"
"Anarta trifolii" "pupa"
"Anorthoa munda" "pupa"
"Antitype chi" "egg"
"Antitype suda" "egg"
"Apamea anceps" "larva"
"Apamea aquila" "larva"
"Apamea crenata" "larva"
"Apamea epomidion" "larva"
"Apamea furva" "larva"
"Apamea illyria" "larva"
"Apamea lateritia" "larva"
"Apamea lithoxylaea" "larva"
"Apamea maillardi" "larva"
"Apamea monoglypha" "larva"
"Apamea platinea" "larva"
"Apamea remissa" "larva"
"Apamea rubrirena" "larva"
"Apamea scolopacina" "larva"
"Apamea sordens" "larva"
"Apamea sublustris" "larva"
"Apamea unanimis" "larva"
"Apamea zeta" "larva"
"Aporophyla lutulenta" "larva"
"Aporophyla nigra" "larva"
"Apterogenum ypsillon" "egg"
"Archanara dissoluta" "egg"
"Archanara neurica" "egg"
"Asteroscopus sphinx" "egg"
"Atethmia centrago" "egg"
"Athetis gluteosa" "larva"
"Athetis hospes" "larva"
"Athetis pallustris" "larva"
"Atypha pulmonaris" "egg"
"Auchmis detersa" "larva"
"Autographa aemula" "larva"
"Autographa bractea" "larva"
"Autographa gamma" "larva"
"Autographa jota" "larva"
"Autographa pulchrina" "larva"
"Axylia putris" "pupa"
"Brachionycha nubeculosa" "pupa"
"Brachylomia viminalis" "egg"
"Bryophila domestica" "larva"
"Bryophila ereptricula" "larva"
"Bryophila petricolor" "larva"
"Bryophila raptricula" "larva"
"Bryophila ravula" "larva"
"Bryopsis muralis" "larva"
"Calamia tridens" "egg"
"Calliergis ramosa" "pupa"
"Callopistria juventina" "larva"
"Callopistria latreillei" "egg"
"Calophasia lunula" "pupa"
"Calophasia platyptera" "pupa"
"Caradrina aspersa" "larva"
"Caradrina clavipalpis" "larva"
"Caradrina flavirena" "larva"
"Caradrina gilva" "larva"
"Caradrina kadenii" "larva"
"Caradrina montana" "larva"
"Caradrina morpheus" "larva"
"Caradrina selini" "larva"
"Caradrina terrea" "larva"
"Caradrina wullschlegeli" "larva"
"Ceramica pisi" "pupa"
"Cerapteryx graminis" "larva"
"Cerastis leucographa" "pupa"
"Cerastis rubricosa" "pupa"
"Charanyca trigrammica" "larva"
"Chersotis alpestris" "larva"
"Chersotis andereggii" "larva"
"Chersotis cuprea" "larva"
"Chersotis fimbriola" "larva"
"Chersotis margaritacea" "larva"
"Chersotis multangula" "larva"
"Chersotis ocellina" "larva"
"Chersotis oreina" "larva"
"Chersotis rectangula" "larva"
"Chilodes maritima" "larva"
"Chloantha hyperici" "pupa"
"Chrysodeixis chalcites" NA
"Cirrhia gilvago" "egg"
"Cirrhia icteritia" "egg"
"Cirrhia ocellaris" "egg"
"Clemathada calberlai" "pupa"
"Colocasia coryli" "pupa"
"Conistra erythrocephala" "adult"
"Conistra ligula" "adult"
"Conistra rubiginea" "adult"
"Conistra rubiginosa" "adult"
"Conistra torrida" "adult"
"Conistra vaccinii" "adult"
"Cosmia affinis" "egg"
"Cosmia pyralina" "egg"
"Cosmia trapezina" "egg"
"Craniophora ligustri" "pupa"
"Cryphia algae" "larva"
"Cryphia ochsi" "larva"
"Cryphia simulatricula" "larva"
"Crypsedra gemmea" "egg"
"Cucullia absinthii" "pupa"
"Cucullia artemisiae" "pupa"
"Cucullia asteris" "pupa"
"Cucullia campanulae" "pupa"
"Cucullia gnaphalii" "pupa"
"Cucullia lactucae" "pupa"
"Cucullia lucifuga" "pupa"
"Cucullia lychnitis" "pupa"
"Cucullia prenanthis" "pupa"
"Cucullia santonici" "pupa"
"Cucullia scrophulariae" "pupa"
"Cucullia thapsiphaga" "pupa"
"Cucullia umbratica" "pupa"
"Cucullia verbasci" "pupa"
"Dasypolia ferdinandi" "adult"
"Dasypolia templi" "adult"
"Deltote bankiana" "pupa"
"Deltote deceptoria" "pupa"
"Deltote pygarga" "pupa"
"Deltote uncula" "pupa"
"Denticucullus pygmina" "larva"
"Diachrysia chrysitis aggr." "larva"
"Diachrysia chryson" "larva"
"Diachrysia nadeja" "larva"
"Diarsia brunnea" "larva"
"Diarsia dahlii" "larva"
"Diarsia mendica" "larva"
"Diarsia rubi" "larva"
"Dichagyris candelisequa" "larva"
"Dichagyris flammatra" "larva"
"Dichagyris forcipula" "larva"
"Dichagyris musiva" "larva"
"Dichagyris nigrescens" "larva"
"Dichagyris signifera" "larva"
"Dichagyris vallesiaca" "larva"
"Dichonia convergens" "egg"
"Dicycla oo" "egg"
"Diloba caeruleocephala" "egg"
"Dryobotodes eremita" "egg"
"Dypterygia scabriuscula" "larva"
"Egira conspicillaris" "pupa"
"Elaphria venustula" "pupa"
"Enargia paleacea" "egg"
"Enterpia laudeti" "pupa"
"Epilecta linogrisea" "larva"
"Epimecia ustula" "pupa"
"Epipsilia grisescens" "larva"
"Epipsilia latens" "larva"
"Episema glaucina" "larva"
"Eriopygodes imbecilla" "larva"
"Eucarta amethystina" "pupa"
"Eucarta virgo" "pupa"
"Euchalcia modestoides" "larva"
"Euchalcia variabilis" "larva"
"Eugnorisma depuncta" "larva"
"Eugnorisma glareosa" "larva"
"Eugraphe sigma" "larva"
"Euplexia lucipara" "pupa"
"Eupsilia transversa" "adult"
"Eurois occulta" "larva"
"Euxoa aquilina" "larva"
"Euxoa birivia" "larva"
"Euxoa cos" "larva"
"Euxoa culminicola" "larva"
"Euxoa decora" "larva"
"Euxoa distinguenda" "larva"
"Euxoa eruta" "larva"
"Euxoa nigricans" "larva"
"Euxoa obelisca" "larva"
"Euxoa recussa" "larva"
"Euxoa vitta" "larva"
"Gortyna flavago" "egg"
"Graphiphora augur" "larva"
"Griposia aprilina" "egg"
"Hada plebeja" "pupa"
"Hadena albimacula" "pupa"
"Hadena bicruris" "pupa"
"Hadena caesia" "pupa"
"Hadena compta" "pupa"
"Hadena confusa" "pupa"
"Hadena filograna" "pupa"
"Hadena irregularis" "pupa"
"Hadena luteocincta" NA
"Hadena magnolii" "pupa"
"Hadena perplexa" "pupa"
"Hadena tephroleuca" "pupa"
"Hecatera bicolorata" "pupa"
"Hecatera dysodea" "pupa"
"Helicoverpa armigera" "pupa"
"Heliothis nubigera" "pupa"
"Heliothis peltigera" "pupa"
"Heliothis viriplaca" "pupa"
"Helotropha leucostigma" "egg"
"Hoplodrina ambigua" "larva"
"Hoplodrina blanda" "larva"
"Hoplodrina octogenaria" "larva"
"Hoplodrina respersa" "larva"
"Hoplodrina superstes" "larva"
"Hydraecia micacea" "egg"
"Hyppa rectilinea" "larva"
"Ipimorpha retusa" "egg"
"Ipimorpha subtusa" "egg"
"Jodia croceago" "adult"
"Lacanobia aliena" "pupa"
"Lacanobia contigua" "pupa"
"Lacanobia oleracea" "pupa"
"Lacanobia splendens" "pupa"
"Lacanobia suasa" "pupa"
"Lacanobia thalassina" "pupa"
"Lacanobia w-latinum" "pupa"
"Lamprotes c-aureum" "larva"
"Lasionhada proxima" "larva"
"Lateroligia ophiogramma" "larva"
"Lenisa geminipuncta" "egg"
"Leucania comma" "larva"
"Leucania loreyi" "larva"
"Leucania obsoleta" "larva"
"Lithophane consocia" "adult"
"Lithophane furcifera" "adult"
"Lithophane leautieri" "adult"
"Lithophane ornitopus" "adult"
"Lithophane semibrunnea" "adult"
"Lithophane socia" "adult"
